platform,video_id,url,title_caption,hashtags,views,likes,comments,channel_account,download_path,scraped_at
youtube,sGOKTuKNjN0,https://www.youtube.com/watch?v=sGOKTuKNjN0,🔴 LIVE - مستحيل يلقاوني هاد المرة … ضحكت عليهم 😂,"مغربي, مغربية, هروب, محاكي المزارع, meed charfi, meed gaming, meed charfi الضحك, ranch simulator game, جيمينج, مزرعة, اضحك, مضحك, المزرعة التعيسة, بنيت فيلا الأحلام فالمزرعة التعيسة, MECCHA CHAMELEON, Meccha Chameleon Gameplay, لعبة التخفي, ألعاب مضحكة, ألعاب جديدة, Funny Moments, Gaming Arabic, عربي جيمينج, مامكالو, Mamkalo, ألعاب ستيم, Gameplay, Chameleon Game, Prop Hunt Game, ألعاب كوميدية, اختفيت قدامهم, تحولت لحيط, لعبة أسطورية, Viral Gaming, Gaming Highlights",93344,6622,161,Meed Live,,2026-07-27 12:01:21.936648+00:00
youtube,JCjNY4BGI4o,https://www.youtube.com/watch?v=JCjNY4BGI4o,MR CRAZY – N.R.N.S | No Risk No Story (Official Video),,81562,5061,401,MR CRAZY OFFICIAL,,2026-07-27 12:01:21.936655+00:00
youtube,GfWDs2ZCMes,https://www.youtube.com/watch?v=GfWDs2ZCMes,roblox best gameplay,"roblox, granny, free fire, live roblox, roblox shorts, shorts feed, 67, six seven, meme reset, singing brainrot song, great meme reset",337216,2797,0,StanRP,,2026-07-27 12:01:21.936662+00:00
youtube,gbb1pWkDRcM,https://www.youtube.com/watch?v=gbb1pWkDRcM,Adil El Miloudi - Zkara - exclusive - عادل الميلودي  - زكاره,"adil el miloudi, عادل الميلودي, zkara, زكاره, adil el miloudi zkara, chaabi, الشعبي المغربي, chaabi maroc, نايضة, nayda, chaabi 2026, اغاني مغربية, moroccan music, شعبي, aghani chaabi, jadid chaabi, الشعبي المغربي 2026, موسيقى مغربية, adil miloudi jdid, chaabi nayda, اغاني شعبية, maroc, dakchi, tiktok maroc, trending morocco, aghani maghribia, عادل الميلودي جديد",32133,691,82,Adil el miloudi,,2026-07-27 12:01:21.936671+00:00
youtube,wxwkwO51lVY,https://www.youtube.com/watch?v=wxwkwO51lVY,ماب الكيبورد 😱 هربت من العالم 4,"gaming, viral, trending, horror, جيمنج, ترند, roblox, روبلوكس, ماين, ماينكرافت, ماين كرافت, كرافت, minecraft, mine craft, gta, gtav, el husamo, ال حسامو, حسامو, husamo, الحسامو, elhusamo, peekaa, peeka, naruto, hope rima, rima, abo flah, flah, abo, ابو فله, فله, فلة, رعب, صعب, تنرفز, مستفز, trend, dubai, uae, دبي, كرة, قدم, انيمي, anime, simulator, محاكي, foryou",383799,9601,857,El Husamo X,,2026-07-27 12:01:21.936682+00:00
youtube,1cZOdEOg_C4,https://www.youtube.com/watch?v=1cZOdEOg_C4,Cheikh Mamidou الدمعة عليه طيح Neg3od Nebghik Manbedalch Ljora | Ft Ali Rio | Clip Officiel 2026,"Cheikh Mamidou, cheikh mamidou 2026, mamidou 2026, mamidou, cheb mamidou, mamido, chikh mamidou, chikh mamidou 2026, rai, rai jdid, rai 2026, chaine mamidou oficiiel, الدمعة عليه طيح, Neg3od Nebghik Manbedalch Ljora, الدمعة عليه طيح ، وانا نقولهم ضاربني الريح, l'operation nejhat, jdid mamidou 2026",189501,4452,398,Cheikh Mamidou,,2026-07-27 12:01:21.936691+00:00
youtube,AEhCmaMTCfI,https://www.youtube.com/watch?v=AEhCmaMTCfI,تحولت الى جراني😱وانتقمت من الجدة الشريرة😈(ضربتها بالعصى😰),"game, العاب, gaming, gameplay, games, gaming video, funny gaming, youtube gaming, roblox roleplay, viral video, youtube shorts, horror game, scary game, new game, pc gaming, pc gameplay, gaming videos, gamer, gaming channel, challenge, funny moments, jump scare, scary monster, horror gameplay, arabic gaming, gaming maroc, granny, granny game, granny horror, granny gameplay, granny chapter 2, granny speedrun, granny extreme mode, granny all endings, granny pc, scary games",91608,1970,114,Hicham Panda,,2026-07-27 12:01:21.936702+00:00
youtube,PtIEfD_WfWE,https://www.youtube.com/watch?v=PtIEfD_WfWE,"محمد عدلي و وليد الرحماني ـ خالي يا خالي+ لميمة  ""جماعتنا زينة"" | Mohamed adly & walid rahmani ",,32666,279,16,Mohamed Adly | محمد عدلي,,2026-07-27 12:01:21.936708+00:00
youtube,ax2UNKit_kk,https://www.youtube.com/watch?v=ax2UNKit_kk,كونامي اتجننت ونزلت ميسي و كريستيانو في باك واحد !! 🤯🔥اقوي باك في تاريخ اللعبة 😍☠️ || eFootball 26,"pes mobile, بيس موبايل, بيس موبايل تفتيح بكجات, تفتيح بكجات, eFootball Mobile, بيس 2023, fifa mobile, fifa ultimate team, okato go, okato, abdalaziz esam, عبدالعزيز اوكاتو, اوكاتو, فيفا موبايل, فيفا 23, تحديث فيفا, تحديث بيس موبايل, تحديث فيفا موبايل, pes 2025, pes25, efootball25, efootball 25, efootball 2025, تفتيح بكجات pes, تفتيح بكجات بيس, اي فوتبول",17767,3798,242,OKATO GO,,2026-07-27 12:01:21.936717+00:00
youtube,q3KpW9g7X_8,https://www.youtube.com/watch?v=q3KpW9g7X_8,Straiker - Coup Franc (Official Music Video),"Straiker, Viol, Guinée, Violence, Femmes, Conakry, Jeunesse, Politique, Lutte, Dépression, Folie",46557,8511,834,Straiker,,2026-07-27 12:01:21.936725+00:00
youtube,IZi6cGpOH68,https://www.youtube.com/watch?v=IZi6cGpOH68,تفجير بكج الابيك المجاني! 🔥 أخيرًا ختمت البكج في أول يوم.!😍 || eFootball 26,"efootball 26, efootball mobile, بيس, بيس 26, بيس26, PES, PES 26, PES26, تفتيح بكج الابيك المجاني, تجربة اجويرو بيس, بكج الكنز المجاني, تجربة روني, تفتيح بكج كأس العالم, مؤتمر بيس 27, هدايا بيس موبايل, تطوير اجويرو بيس, تفتيح بكجات بيس, بكج الابيك المجاني, بكج حدث الكنز, كود الهدية بيس, efootball pack opening, احمد حمدي بيس, احمد حمدي جيمنج, جيمنج بيس, GAMING",104824,5342,873,GAMING AHMED HAMDI,,2026-07-27 12:01:21.936734+00:00
